iter	MultiClass
335	0.5822047693
336	0.5820535772
337	0.5819048187
338	0.581744293
339	0.5816402177
340	0.5815041334
341	0.581309495
342	0.5811196071
343	0.5810226243
344	0.5809142486
345	0.5808422824
346	0.5806274538
347	0.5804877332
348	0.5803501433
349	0.5801637389
350	0.579950524
351	0.5798319079
352	0.579626929
353	0.5794933009
354	0.5793715215
355	0.5792596669
356	0.5791455107
357	0.5790429057
358	0.5789074085
359	0.5786844369
360	0.5785680714
361	0.5784748526
362	0.5783775166
363	0.578259328
364	0.5781676337
365	0.5780073444
366	0.5778660912
367	0.5776894869
368	0.5775840282
369	0.5774104997
370	0.5773012986
371	0.5771805056
372	0.5771027681
373	0.5769940338
374	0.5768963755
375	0.5767942989
376	0.5766972763
377	0.5765458061
378	0.5764484201
379	0.5763570226
380	0.5762124668
381	0.5760745357
382	0.5759918742
383	0.5758309851
384	0.5757346102
385	0.5756161659
386	0.5754914227
387	0.5752946431
388	0.5751644212
389	0.5750300131
390	0.5749138647
391	0.5748135237
392	0.5747049409
393	0.574575547
394	0.5744710773
395	0.5743759176
396	0.5742119275
397	0.5741111479
398	0.5739908802
399	0.5738594837
400	0.5737641376
401	0.5736443134
402	0.573552194
403	0.573452708
404	0.5733371269
405	0.573249955
406	0.5731512032
407	0.5730408356
408	0.5729498192
409	0.5728268444
410	0.572707165
411	0.5725789188
412	0.5724702226
413	0.5723503014
414	0.5722665521
415	0.5721694123
416	0.5720387677
417	0.5719636365
418	0.5718836817
419	0.5718112558
420	0.5716475559
421	0.5715301988
422	0.571430788
423	0.5713146212
424	0.5712158292
425	0.5711539539
426	0.5710653845
427	0.5708801657
428	0.5707793409
429	0.5706541656
430	0.5705833676
431	0.5705197603
432	0.5704476027
433	0.5703317285
434	0.5702488722
435	0.5701671275
436	0.5700755695
437	0.5699822575
438	0.5698922192
439	0.569794393
440	0.5697498525
441	0.5696514138
442	0.5695423889
443	0.5694509795
444	0.5693520889
445	0.5692840867
446	0.5691657816
447	0.5690788822
448	0.5689979261
449	0.5688767567
450	0.5687970789
451	0.5686522819
452	0.5685128579
453	0.5683496581
454	0.5682837003
455	0.5681698663
456	0.5679986842
457	0.5679294682
458	0.567822454
459	0.5676828343
460	0.5675714474
461	0.5675045748
462	0.5674282531
463	0.5673474092
464	0.5672283557
465	0.5671588634
466	0.5670524599
467	0.5669661421
468	0.5668841968
469	0.5667601907
